target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	549.175	88193	103373
ENST00000361453.3	1042	626.297	65967	67800.3
ENST00000361624.2	1542	1126.3	284480	162586
ENST00000361739.1	684	374.804	70955	121861
ENST00000361851.1	207	97.1429	8721.54	57792
ENST00000361899.2	681	371.804	62221.5	107724
ENST00000362079.2	784	451.241	66475	94827.7
ENST00000361227.2	346	146.344	8166	35918.7
ENST00000361335.1	297	122.111	9357	49325
ENST00000361381.2	1378	962.297	118410	79207.2
ENST00000361567.2	1812	1396.3	72368	33362.2
ENST00000361681.2	525	263.886	13123	32011.2
ENST00000361789.2	1141	725.297	61083	54211.3
