target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	633.91	16776	77626.5
ENST00000361453.3	1042	719.91	12430	50645.7
ENST00000361624.2	1542	1219.91	93929	225851
ENST00000361739.1	684	362.532	17074	138146
ENST00000361851.1	207	35.2726	200	16631.9
ENST00000361899.2	681	359.532	10409	84922.2
ENST00000362079.2	784	461.997	23741	150734
ENST00000361227.2	346	73.4323	971	38786.6
ENST00000361335.1	297	54.1699	769	41640.7
ENST00000361381.2	1378	1055.91	27433	76207.2
ENST00000361567.2	1812	1489.91	15854	31212.5
ENST00000361681.2	525	208.155	1979	27887.4
ENST00000361789.2	1141	818.91	11086	39708.9
