target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	631.105	18776	91563.9
ENST00000361453.3	1042	717.054	14247	61149.7
ENST00000361624.2	1542	1217.05	59754	151105
ENST00000361739.1	684	359.794	14256	121946
ENST00000361851.1	207	31.8335	228.385	22080.3
ENST00000361899.2	681	356.823	10753.6	92752.3
ENST00000362079.2	784	459.343	12824	85923
ENST00000361227.2	346	72.8489	2047	86480.4
ENST00000361335.1	297	52.1624	1574	92868.8
ENST00000361381.2	1378	1053.05	26840	78443.1
ENST00000361567.2	1812	1487.05	15725	32545.2
ENST00000361681.2	525	207.291	2633	39092.4
ENST00000361789.2	1141	816.054	11680	44050.1
