target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	609.609	32003	91796.7
ENST00000361453.3	1042	695.609	24450	61461.3
ENST00000361624.2	1542	1195.61	111873	163615
ENST00000361739.1	684	338.824	24506	126470
ENST00000361851.1	207	30.1902	155.167	8987.17
ENST00000361899.2	681	335.824	18883.8	98325.6
ENST00000362079.2	784	437.9	26386	105363
ENST00000361227.2	346	59.6305	2678	78528.9
ENST00000361335.1	297	41.591	1682	70715.5
ENST00000361381.2	1378	1031.61	51870	87920.2
ENST00000361567.2	1812	1465.61	27137	32376.6
ENST00000361681.2	525	188.358	3101	28787.5
ENST00000361789.2	1141	794.609	20746	45652.9
