target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	650.509	9240	73024
ENST00000361453.3	1042	736.509	7382	51527.9
ENST00000361624.2	1542	1236.51	44527	185128
ENST00000361739.1	684	379.954	8956	121180
ENST00000361851.1	207	30.8322	196.274	32727
ENST00000361899.2	681	377.127	6345.73	86504.9
ENST00000362079.2	784	478.997	11298	121259
ENST00000361227.2	346	85.7055	870	52186.4
ENST00000361335.1	297	57.9788	1044	92571.7
ENST00000361381.2	1378	1072.51	16137	77351.5
ENST00000361567.2	1812	1506.51	10642	36316
ENST00000361681.2	525	228.012	1747	39389.6
ENST00000361789.2	1141	835.509	5011	30833.3
