target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	624.703	28454	88785.9
ENST00000361453.3	1042	710.703	22687	62224.7
ENST00000361624.2	1542	1210.7	90422	145583
ENST00000361739.1	684	353.417	22376	123415
ENST00000361851.1	207	29.913	245.289	15984.3
ENST00000361899.2	681	350.471	16999.7	94550.5
ENST00000362079.2	784	453.011	23467	100977
ENST00000361227.2	346	64.687	3495	105318
ENST00000361335.1	297	44.0129	2046	90614.9
ENST00000361381.2	1378	1046.7	38319	71361.7
ENST00000361567.2	1812	1480.7	21932	28872.5
ENST00000361681.2	525	200.171	2912	28357.3
ENST00000361789.2	1141	809.703	18258	43954.3
