target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	623.804	125444	91385.6
ENST00000361453.3	1042	709.804	91489	58574.2
ENST00000361624.2	1542	1209.8	477283	179282
ENST00000361739.1	684	352.183	93603	120781
ENST00000361851.1	207	35.5008	1118.13	14313
ENST00000361899.2	681	349.213	72956.9	94940.6
ENST00000362079.2	784	451.884	108969	109585
ENST00000361227.2	346	69.9783	12072	78395.6
ENST00000361335.1	297	51.885	7650	67003.1
ENST00000361381.2	1378	1045.8	184400	80128.4
ENST00000361567.2	1812	1479.8	105766	32480.1
ENST00000361681.2	525	200.18	11644	26433.6
ENST00000361789.2	1141	808.804	83112	46697.8
