target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	614.528	199478	76756.3
ENST00000361453.3	1042	700.528	184456	62262.7
ENST00000361624.2	1542	1200.53	859971	169384
ENST00000361739.1	684	343.381	195176	134404
ENST00000361851.1	207	31.9971	1693.74	12516.9
ENST00000361899.2	681	340.381	153257	106467
ENST00000362079.2	784	442.651	211923	113208
ENST00000361227.2	346	60.0175	20129	79305.9
ENST00000361335.1	297	41.9687	11459	64562.7
ENST00000361381.2	1378	1036.53	358358	81751.7
ENST00000361567.2	1812	1470.53	181256	29146.1
ENST00000361681.2	525	191.122	19536	24170.6
ENST00000361789.2	1141	799.528	155753	46064.2
