target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	599.605	27226	95184
ENST00000361453.3	1042	685.605	22437	68601.9
ENST00000361624.2	1542	1185.61	93056	164532
ENST00000361739.1	684	329.405	17559	111742
ENST00000361851.1	207	35.7284	189.222	11102
ENST00000361899.2	681	326.46	13871.8	89073.4
ENST00000362079.2	784	428.256	22489	110081
ENST00000361227.2	346	61.8781	2229	75512.4
ENST00000361335.1	297	46.8468	1273	56963.2
ENST00000361381.2	1378	1021.61	43172	88585.9
ENST00000361567.2	1812	1455.61	24787	35696.5
ENST00000361681.2	525	180.486	2970	34495.2
ENST00000361789.2	1141	784.605	21870	58431
