target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	609.387	221328	98587.3
ENST00000361453.3	1042	695.337	189492	73973
ENST00000361624.2	1542	1195.34	599926	136234
ENST00000361739.1	684	338.802	152501	122181
ENST00000361851.1	207	32.7529	1358.62	11259.7
ENST00000361899.2	681	335.828	98830.4	79882.4
ENST00000362079.2	784	437.646	161899	100415
ENST00000361227.2	346	63.9771	26442	112188
ENST00000361335.1	297	46.9814	13193	76224.7
ENST00000361381.2	1378	1031.34	284588	74902.1
ENST00000361567.2	1812	1465.34	161966	30003
ENST00000361681.2	525	188.732	22846	32858.1
ENST00000361789.2	1141	794.337	150097	51291.4
